period4,0.693846,1,1,1,0.501667,0.0116765,0.00268815,0.00180314,0.0116765,0.00268815,0.0016129,0.00169727,0.0116765,0.00268815,0.00294714,0.00268815,1,0.0348818,0.00180314,0.00268815,0.00180314,0.00180314,0.00180314,0.00268815,0.00268815,0.00182864,0.001716,0.001716,0.66747,0.257734,0.40328,0.378181,0.66352,0.143014,0.279196,0.0692112,0.135819,0.474066,0.425506,0.483259,0.579133,0.312032,0.370648,0.636184,0.695382,0.533882,0.598488
period5,0.755385,1,1,1,0.739344,0.0264014,0.00284132,0.00181822,0.0139905,0.00291599,0.0016129,0.00169727,0.0139905,0.00291599,0.00319102,0.00291599,1,0.349084,0.00181822,0.00291599,0.00182557,0.00182557,0.00182557,0.00291599,0.00291599,0.00185265,0.00171749,0.00171749,0.280171,0.45947,0.548556,0.095616,0.832714,0.364695,0.492212,0.464019,0.440179,0.172468,0.698483,0.590657,0.398955,0.592973,0.494682,0.646592,0.770772,0.446312,0.410187
period6,0.816923,1,1,1,0.870492,0.0684853,0.0302909,0.00254892,0.14899,0.00290175,0.0177419,0.00242188,0.0148155,0.00290175,0.00399598,0.00299722,1,0.632018,0.00254892,0.00290175,0.00182417,0.00182417,0.00183357,0.00299722,0.00299722,0.00193191,0.00178943,0.00178943,0.326715,0.589815,0.0707366,0.27589,0.551635,0.463967,0.798966,0.499294,0.157078,0.765842,0.629326,0.587409,0.470325,0.238891,0.228699,0.47796,0.256483,0.488938,0.672496
period7,0.847692,1,1,1,0.903279,0.132857,0.0768071,0.0284211,0.22857,0.00297142,0.066129,0.0160793,0.0371445,0.060114,0.00472793,0.00336169,1,0.734481,0.00281877,0.0315427,0.00183103,0.00274308,0.00186946,0.00336169,0.00336169,0.00200398,0.00248956,0.001816,0.551357,0.435683,0.654608,0.484362,0.204515,0.561764,0.629054,0.400797,0.197276,0.300382,0.571277,0.652255,0.55856,0.540679,0.476808,0.424602,0.541357,0.653499,0.339095
period8,0.847692,1,1,1,0.903279,0.160204,0.0903672,0.0544711,0.406322,0.0590501,0.130645,0.0610413,0.0371445,0.199161,0.0047566,0.00336169,1,0.7755,0.0157423,0.0730612,0.00272354,0.09584,0.00186946,0.00336169,0.0219339,0.0020068,0.00263947,0.00232502,0.352231,0.863202,0.416766,0.414779,0.511316,0.739808,0.363076,0.386728,0.531753,0.575085,0.438052,0.259138,0.496739,0.529597,0.45687,0.47136,0.314509,0.596019,0.33262
period9,0.909231,1,1,1,0.952459,0.159127,0.13317,0.109416,0.482044,0.207534,0.179032,0.152206,0.0270245,0.295178,0.00434092,0.0028715,1,0.819639,0.0428307,0.163712,0.0721154,0.213813,0.00182119,0.0028715,0.0163837,0.00196588,0.00277816,0.00261459,0.53424,0.331926,0.2092,0.626999,0.226746,0.521337,0.506272,0.737935,0.39086,0.411918,0.480882,0.564273,0.285722,0.262028,0.291918,0.571982,0.669776,0.488656,0.2249
period10,0.924615,1,1,1,0.952459,0.219179,0.149112,0.138459,0.517708,0.343243,0.21129,0.184132,0.025136,0.461576,0.00427835,0.00278003,1,0.831162,0.111348,0.22491,0.246124,0.334784,0.00181219,0.00278003,0.015348,0.00195971,0.00282516,0.0151682,0.516805,0.329201,0.529984,0.533258,0.421648,0.801564,0.274443,0.47232,0.477037,0.408581,0.268452,0.297407,0.564761,0.610294,0.121996,0.726085,0.396593,0.160638,0.787787
period11,0.924615,1,1,1,0.985246,0.264185,0.208478,0.155826,0.592733,0.373506,0.259677,0.18634,0.0252411,0.477234,0.0043811,0.0154056,1,0.906347,0.11413,0.269778,0.319047,0.393495,0.00230871,0.00278511,0.0154056,0.00196983,0.00286183,0.0281845,0.318721,0.517057,0.420798,0.362734,0.231366,0.474992,0.494818,0.385196,0.701549,0.432951,0.687716,0.326428,0.599391,0.525464,0.446079,0.242416,0.462035,0.465247,0.409767
period12,0.991781,1,1,1,0.99847,0.359742,0.222027,0.195429,0.700657,0.401054,0.993148,1,0.0188279,0.608066,0.00412365,0.0118884,1,1,0.12142,0.337358,0.373243,0.486345,0.00213835,0.00247448,0.0118884,0.00194448,0.00294317,0.0298727,0.743364,0.502945,0.334617,0.231163,0.730864,0.489749,0.417012,0.656502,0.673098,0.413867,0.505238,0.626521,0.60241,0.549405,0.338895,0.123045,0.549551,0.289936,0.757045
period13,0.991781,1,1,1,0.99847,0.440913,0.254996,0.198017,0.749359,0.401509,0.994693,1,0.0188279,0.672554,0.00416888,0.0118884,1,1,0.153018,0.44934,0.373664,0.612978,0.00213835,0.00247448,0.0118884,0.00194894,0.00295668,0.0446632,0.108083,0.625921,0.0155049,0.834828,0.352878,0.190301,0.748719,0.334033,0.54344,0.469134,0.4266,0.820048,0.663015,0.668946,0.451159,0.549884,0.535502,0.585212,0.487599
period14,0.991781,1,1,1,0.99847,0.489615,0.303124,0.200061,0.846763,0.41817,0.995507,1,0.0188279,0.75368,0.00422432,0.0118884,1,1,0.200061,0.482076,0.390235,0.693812,0.00213835,0.00247448,0.0118884,0.00195439,0.0172574,0.0744178,0.532483,0.168881,0.288643,0.201133,0.284579,0.474923,0.280149,0.08478,0.340097,0.486928,0.130777,0.506525,0.70427,0.218451,0.371262,0.477964,0.727874,0.229095,0.754765
period15,0.991781,1,1,1,0.99847,0.570785,0.383539,0.21782,0.879231,0.434319,0.995999,1,0.0188279,0.817984,0.00430777,0.0118884,1,1,0.263845,0.514249,0.406336,0.742205,0.00213835,0.00247448,0.0118884,0.00196261,0.0175071,0.105606,0.554257,0.586259,0.672722,0.348218,0.435279,0.137648,0.603291,0.381247,0.292985,0.363518,0.429358,0.291233,0.289568,0.360308,0.428845,0.280383,0.478535,0.442417,0.248317
period16,1,1,1,1,0.998075,0.525804,0.344911,0.207349,0.901733,0.437357,0.999945,1,0.0181905,0.872121,0.00416769,0.0115389,1,1,0.245672,0.566176,0.42478,0.763872,0.00212141,0.0024436,0.0115389,0.00194882,0.0272313,0.113421,1,0.697773,0.305238,0.222826,0.474103,1,0.72409,0.341412,0.461081,0.505692,0.472324,0.522628,0.408963,0.30068,0.651953,0.455215,0.277244,0.355506,0.273158
period17,1,1,1,1,0.997412,0.757916,0.478716,0.327924,0.9012,0.453197,0.995687,1,0.0182449,0.887704,0.00440657,0.0115687,1,1,0.379215,0.565847,0.424983,0.842857,0.00212286,0.00244624,0.0115687,0.00197234,0.0358931,0.217432,1,0.701494,0.489684,0.0349768,0.664329,1,0.452591,0.411253,0.465832,0.314868,0.160866,0.510916,0.621013,0.375475,0.474522,0.512524,0.367351,0.679936,0.638107
period18,1,1,1,1,0.999487,0.669791,0.48361,0.273289,0.997991,0.492015,0.995825,1,0.0180748,0.998681,0.00437224,0.0114754,1,1,0.372855,0.632084,0.461152,1,0.00211834,0.002438,0.0114754,0.00196896,0.0302751,0.22394,1,0.29775,0.614719,0.527218,0.892382,1,0.403633,0.403227,0.670378,0.515418,0.46326,0.44018,0.534522,0.380124,0.253921,0.215792,0.384986,0.608523,0.428933
period19,1,1,1,1,0.999485,0.691367,0.562073,0.32013,0.997923,0.491982,0.998446,1,0.050845,0.998766,0.00510671,0.0155133,1,1,0.421015,0.632041,0.478086,1,0.00231392,0.00280202,0.0155133,0.00204128,0.0308104,0.269655,1,0.651445,1,0.907515,0.14675,1,0.434315,0.603289,0.238018,0.267858,0.498749,0.359184,0.359416,0.500545,0.461806,0.786221,0.64354,0.459617,0.602281
period20,1,1,1,1,0.99992,0.985861,0.79926,0.494704,0.998241,0.465274,0.999225,1,0.0525462,0.998759,0.0187655,0.0160293,1,1,0.658655,0.661357,0.45121,1,0.00238851,0.00289274,0.0160293,0.00252091,0.0428508,0.422241,1,0.374077,1,0.0922105,0.313702,1,0.390126,0.508672,0.727999,0.500219,0.507989,0.457856,0.527883,0.532556,0.323334,0.573615,0.754483,0.687985,0.480025
period21,1,1,1,1,0.999844,0.942006,0.824095,0.552159,0.998227,0.465267,0.997544,1,0.0525498,0.998752,0.0335195,0.0160303,1,1,0.650265,0.661348,0.451204,1,0.00238856,0.00289283,0.0160303,0.00270171,0.0412634,0.442964,1,0.415077,1,0.787677,0.402891,1,0.889482,0.554687,0.408626,0.627198,0.411325,0.775248,0.416898,0.623571,0.209016,0.338379,0.339968,0.443555,0.439551
period22,1,1,1,1,0.99994,0.999383,0.999988,1,0.998174,0.465243,0.999064,1,0.0694934,0.998866,0.0386476,0.0168657,1,1,1,0.679138,0.45118,1,0.00242898,0.002967,0.0168657,0.0157468,0.065625,0.759459,1,0.884389,1,0.26062,0.645678,1,1,0.675379,0.463209,0.279216,0.563637,0.333459,0.265406,0.487237,0.656012,0.288781,0.268714,0.540859,0.361624
period23,1,1,1,1,0.999957,0.99815,0.999976,1,0.998478,0.45722,0.960377,1,0.0694928,0.998995,0.0385508,0.0168656,1,1,1,0.70246,0.443446,1,0.00242898,0.00296699,0.0168656,0.0157114,0.065625,0.771795,1,0.690143,1,0.403313,0.636051,1,1,0.56692,0.549516,0.270618,0.44177,0.197588,0.417383,0.126842,0.526553,0.700928,0.584806,0.320155,0.342096
period24,1,1,1,1,0.999957,0.997185,0.999962,1,0.998358,0.435157,0.990414,1,0.0927276,0.998915,0.0346668,0.0186802,1,1,1,0.680037,0.420408,1,0.00262594,0.00322559,0.0186802,0.0144047,0.07,0.792105,1,0.584083,1,0.486533,0.927661,1,1,0.800329,0.479897,0.183149,0.599928,0.504653,0.722189,0.419676,0.41445,0.377178,0.455407,0.343648,0.739144
period25,1,1,1,1,0.999985,0.999131,0.99997,1,0.998919,0.54506,0.994481,1,0.212279,0.998922,0.18317,0.0359672,1,1,1,0.702784,0.462438,1,0.00289019,0.0196381,0.0196381,0.157623,1,0.897917,1,0.782403,1,0.820124,0.745446,1,1,0.451186,0.429724,0.54864,0.483352,0.771979,0.599291,0.493215,0.212496,0.343342,0.721333,0.384356,0.574386
