period7,0.898718,0.293666,0.00128205,0.847436,0.00266115,0.626487,0.821795,0.148323,0.0119731,0.00246401,0.00152529,0.00143263,0.00143263,0.00143263,0.00246401,0.00167437,0.00243137,0.00270158,0.00152529,0.00142348,0.00152529,0.00152529,0.0015953,0.0015953,0.00142348,0.373157,0.150305,0.492053,0.275116,0.497316,0.335752,0.850325,0.563287,0.397103,0.92513,0.799548,0.634824,0.520718,0.794041,0.541771,0.110822,0.424912,0.354133,0.454964,0.400653,0.334425,0.572417,0.773306,0.461521
period8,0.896053,0.599966,0.00131579,0.882895,0.0027277,0.713787,0.896053,0.497019,0.345746,0.00255526,0.00156795,0.00147052,0.00147052,0.00147052,0.00255526,0.00172229,0.286631,0.0234422,0.00156795,0.00146091,0.00156795,0.00156795,0.00163777,0.00163777,0.00146091,0.197887,0.594618,0.357037,0.468247,0.14627,0.453639,0.476059,0.426544,0.413511,0.415024,0.44194,0.40206,0.454981,0.754805,0.41121,0.732444,0.343535,0.706865,0.34032,0.280172,0.446483,0.322863,0.711032,0.532415
period9,0.958571,0.876782,0.00142857,0.944286,0.00294109,0.845626,0.958571,0.752546,0.61742,0.00287254,0.00171172,0.0015973,0.0015973,0.0015973,0.00287254,0.00187996,0.540526,0.0245813,0.00171172,0.00158602,0.00171172,0.00171172,0.00177955,0.00177955,0.00158602,0.269743,0.454341,0.132084,0.727035,0.543531,0.466537,0.47373,0.445666,0.94751,0.391965,0.307286,0.761735,0.480097,0.483217,0.552094,0.539289,0.390638,0.53586,0.265677,0.357665,0.39254,0.26333,0.386692,0.300103
period10,0.972059,0.902365,0.00147059,0.972059,0.00299076,0.909471,0.972059,0.853059,0.824853,0.00314952,0.00178091,0.00164606,0.00164606,0.00164606,0.00314952,0.00195573,0.716449,0.0144579,0.00178091,0.00163277,0.00178091,0.00178091,0.00183542,0.00183542,0.00163277,0.675325,0.854128,0.641324,0.519365,0.643989,0.518222,0.896575,0.572905,0.0478432,0.420339,0.0726494,0.759466,0.150452,0.344492,0.36593,0.766603,0.384941,0.324559,0.336405,0.77695,0.262773,0.710637,0.377469,0.437126
period11,0.986154,0.958712,0.00153846,0.986154,0.00305116,0.946823,0.986154,0.9169,0.901938,0.00343983,0.00187715,0.00172329,0.00172329,0.00172329,0.00343983,0.00206105,0.831724,0.0213965,0.00187715,0.00170814,0.00187715,0.00187715,0.00192258,0.00192258,0.00170814,0.182288,0.363238,0.363221,0.317461,0.56302,0.218595,0.639587,0.519753,0.655797,0.5557,0.496787,0.880863,0.627184,0.78617,0.304241,0.17344,0.537774,0.306847,0.663952,0.0869457,0.284965,0.213966,0.574707,0.263163
period12,0.985938,0.973479,0.0015625,1,0.00171631,0.973479,0.985938,0.961196,0.961196,0.0053823,0.00209232,0.00176846,0.00176846,0.00176846,0.0053823,0.00229367,0.891485,0.167386,0.00209232,0.00173658,0.00209232,0.00209232,0.00198868,0.00198868,0.00173658,0.59701,0.599924,0.591362,0.450015,0.544565,0.743161,0.401618,0.0862665,0.744616,0.229962,0.692685,0.500667,0.219098,0.429223,0.361169,0.461059,0.209584,0.201953,0.404692,0.429458,0.318383,0.679734,0.57725,0.232912
period13,0.999848,1,0.0016129,1,0.00177159,1,0.985484,0.972498,0.972498,0.00431877,0.00203781,0.0018134,0.0018134,0.0018134,0.00431877,0.00223494,0.92976,0.20423,0.00203781,0.00179132,0.00203781,0.00203781,0.00202875,0.00202875,0.00179132,0.460937,0.196357,0.557319,0.418311,0.405681,0.420049,0.356778,0.100774,0.0704262,0.643062,0.413384,0.696343,0.307335,0.594783,0.621962,0.307484,0.201742,0.192245,0.425984,0.482348,0.870344,0.191675,0.735233,0.300517
period14,0.999968,1,0.00172414,1,0.00189358,1,0.996923,0.99688,0.981733,0.0035193,0.00207,0.00192757,0.00192757,0.00192757,0.0035193,0.00227104,1,0.296347,0.00207,0.00191357,0.00207,0.00207,0.00214697,0.00214697,0.00191357,0.417611,0.480591,0.513724,0.540376,0.51143,0.643658,0.862033,0.170326,0.702881,0.198345,0.0795116,0.372442,0.819458,0.521294,0.58207,0.358931,0.668561,0.640414,0.715522,0.625602,0.492256,0.371409,0.21553,0.476612
period15,0.999963,1,0.00196078,1,0.00215302,1,0.99648,0.996426,0.979215,0.00399851,0.0023528,0.00219145,0.00219145,0.00219145,0.00399851,0.00258066,1,0.356554,0.0023528,0.00217563,0.0023528,0.0023528,0.00244012,0.00244012,0.00217563,0.257558,0.544185,0.776511,0.371472,0.595778,0.350955,0.89219,0.482884,0.226805,0.54877,0.436705,0.0881503,0.56389,0.0920705,0.322233,0.358109,0.337526,0.527371,0.43561,0.66931,0.472216,0.385697,0.3004,0.548649
period16,0.99996,1,0.00208333,1,0.00228733,1,0.996249,0.996188,0.97791,0.00424632,0.00249912,0.00232804,0.00232804,0.00232804,0.00424632,0.0027408,1,0.420422,0.00249912,0.00231129,0.00249912,0.00249912,0.00259178,0.00259178,0.00231129,0.340999,0.25264,0.69431,0.240812,0.310033,0.329789,0.819349,0.56491,0.156702,0.484655,0.360575,0.111603,0.411981,0.146292,0.615271,0.275926,0.702455,0.477899,0.518607,0.34318,0.269121,0.240856,0.437814,0.279061
period17,0.999951,1,0.0025,1,0.00274375,1,0.995451,0.995367,0.973467,0.005087,0.00299598,0.00279211,0.00279211,0.00279211,0.005087,0.00328427,1,0.504363,0.00299598,0.00277223,0.00299598,0.00299598,0.00310669,0.00310669,0.00277223,0.400516,0.18324,0.397697,0.713517,0.363491,0.78311,0.61382,0.237793,0.40772,0.0282624,0.743343,0.356768,0.775064,0.412217,0.366184,0.584857,0.482808,0.477029,0.429224,0.490437,0.405885,0.362387,0.526627,0.330675
period18,0.999937,1,0.034375,1,0.00483367,1,0.994223,0.994096,0.966785,0.0365547,0.00493562,0.00360314,0.00360314,0.00360314,0.00634269,0.00421363,1,0.598986,0.00493562,0.00347405,0.00373945,0.00373945,0.00388823,0.00388823,0.00347405,0.801958,0.303212,0.172489,0.344279,0.140032,0.554288,0.231898,0.658949,0.215497,0.464447,0.131026,0.703407,0.477522,0.729877,0.120016,0.368749,0.123748,0.642071,0.191356,0.420384,0.439427,0.424772,0.111091,0.215094
period19,0.999982,1,0.0407407,1,0.0057265,1,1,0.996296,0.995061,0.0410334,0.00574,0.00425644,0.00425644,0.00425644,0.00417929,0.00465646,1,1,0.00574,0.00411358,0.00410615,0.00410615,0.00454197,0.00454197,0.00411358,0.0859624,0.0247959,0.488752,0.582054,0.425487,0.504604,0.502071,0.253955,0.190248,0.885039,0.467259,0.493391,0.392058,0.490443,0.298226,0.492355,0.344999,0.495663,0.799335,0.452878,0.487354,0.467458,0.461274,0.416419
period20,1,1,0.05,1,0.0320238,1,1,0.995353,0.994467,0.0502766,0.00703632,0.0052171,0.0052171,0.0052171,0.00507358,0.00569788,1,1,0.00703632,0.00504345,0.00502975,0.00502975,0.00556236,0.00556236,0.00504345,0.838487,0.45429,0.196303,0.462826,0.62146,0.849103,0.579826,0.417172,0.695338,0.413556,0.624455,0.624914,0.363246,0.424673,0.752484,0.503229,0.372109,0.539509,0.49559,0.376401,0.286372,0.282189,0.385019,0.409967
period21,1,1,0.0733333,1,0.0469524,1,1,0.993255,0.991448,0.0735614,0.0102955,0.00762758,0.00762758,0.00762758,0.00746484,0.00831704,1,1,0.0102955,0.00737857,0.00736339,0.00736339,0.0081185,0.0081185,0.00737857,0.493464,0.31813,0.727868,0.595214,0.481538,0.170127,0.798242,0.780513,0.391234,0.574572,0.323189,0.596553,0.490197,0.415101,0.316704,0.314073,0.335715,0.317171,0.383242,0.639222,0.431159,0.278591,0.305584,0.326401
period22,1,1,0.0846154,1,0.0541667,1,1,0.992072,0.989486,0.0847771,0.0118657,0.0087876,0.0087876,0.0087876,0.0847771,0.0129115,1,1,0.0542543,0.00850347,0.0118657,0.0118657,0.00995301,0.00995301,0.00850347,0.102786,0.583342,0.338894,0.0903565,0.527641,0.440241,0.513045,0.167834,0.412763,0.0910659,0.686578,0.222356,0.147589,0.404804,0.408518,0.198291,0.346793,0.611881,0.479822,0.475006,0.386317,0.344601,0.0953616,0.273191
period23,1,1,0.11,1,0.0703889,1,1,0.989249,0.987937,0.109879,0.0153842,0.0113846,0.0113846,0.0113846,0.109879,0.0166859,1,1,0.0703239,0.0110246,0.0153842,0.0153842,0.0128501,0.0128501,0.0110246,0.279222,0.548028,0.118505,0.261059,0.496584,0.185053,0.265129,0.233949,0.484747,0.425346,0.371208,0.193366,0.402838,0.308055,0.353922,0.318342,0.228918,0.431065,0.22488,0.449619,0.379328,0.413914,0.303193,0.191728
period24,1,1,0.157143,1,0.100476,1,1,1,1,0.157143,0.0219048,0.0161633,0.0161633,0.0161633,0.157143,0.0236154,1,1,0.100476,0.0156711,0.0219048,0.0219048,0.0181308,0.0181308,0.0156711,0.319216,0.114825,0.27595,0.299588,0.138119,0.0393253,0.150307,0.595136,0.480812,0.466949,0.60823,0.123851,0.474388,0.24404,0.442883,0.203976,0.189235,0.314883,0.337782,0.320907,0.293142,0.231576,0.328284,0.139017
period25,1,1,0.157143,1,0.100476,1,1,1,1,0.157143,0.0219048,0.0161633,0.0161633,0.0161633,0.157143,0.0236154,1,1,0.100476,0.0156711,0.100476,0.0219048,0.021828,0.021828,0.0156711,0.205878,0.325043,0.31982,0.32907,0.367046,0.38055,0.479905,0.185027,0.0917022,0.0633792,0.280368,0.597127,0.577136,0.347909,0.133828,0.270992,0.273492,0.200604,0.20622,0.356888,0.374549,0.289299,0.230445,0.28787
